grouping,country,pct_both_agree,both_yes,n_valid,age_bin
country,br,28.67203219315895,285,994,
country,in,39.81945837512538,397,997,
country,kr,19.7,197,1000,
country,ng,38.53853853853854,385,999,
country,uk,15.215215215215217,152,999,
country,us,21.82182182182182,218,999,
age_bin,,24.77797513321492,558,2252,18-29
age_bin,,29.73856209150327,637,2142,30–49
age_bin,,27.493606138107417,430,1564,50+
country_age_bin,br,24.59016393442623,90,366,18-29
country_age_bin,br,31.527093596059114,128,406,30–49
country_age_bin,br,30.180180180180184,67,222,50+
country_age_bin,in,33.33333333333333,131,393,18-29
country_age_bin,in,41.73669467787115,149,357,30–49
country_age_bin,in,49.31506849315068,108,219,50+
country_age_bin,kr,18.50828729281768,67,362,18-29
country_age_bin,kr,17.771084337349397,59,332,30–49
country_age_bin,kr,23.202614379084967,71,306,50+
country_age_bin,ng,29.57393483709273,118,399,18-29
country_age_bin,ng,43.61233480176212,198,454,30–49
country_age_bin,ng,47.26027397260274,69,146,50+
country_age_bin,uk,19.94535519125683,73,366,18-29
country_age_bin,uk,13.651877133105803,40,293,30–49
country_age_bin,uk,11.538461538461538,39,338,50+
country_age_bin,us,21.584699453551913,79,366,18-29
country_age_bin,us,21.0,63,300,30–49
country_age_bin,us,22.822822822822822,76,333,50+
