country,age_bin,pct_both_disagree,both_yes,n_valid
br,18-29,5.46448087431694,20,366
br,30–49,6.157635467980295,25,406
br,50+,3.6036036036036037,8,222
in,18-29,5.852417302798982,23,393
in,30–49,2.5210084033613445,9,357
in,50+,0.91324200913242,2,219
kr,18-29,3.591160220994475,13,362
kr,30–49,2.710843373493976,9,332
kr,50+,4.248366013071895,13,306
ng,18-29,4.010025062656641,16,399
ng,30–49,2.643171806167401,12,454
ng,50+,0.0,0,146
uk,18-29,3.278688524590164,12,366
uk,30–49,4.09556313993174,12,293
uk,50+,3.2544378698224854,11,338
us,18-29,3.825136612021858,14,366
us,30–49,3.3333333333333335,10,300
us,50+,4.2042042042042045,14,333
