age_bin,_item,Strongly disagree,Disagree,Neutral,Agree,Strongly agree
18-29,A impact my life,4.25531914893617,10.328014184397164,40.82446808510639,34.39716312056738,10.195035460992907
18-29,B issues I care about,2.5265957446808507,5.49645390070922,28.54609929078014,47.07446808510639,16.356382978723406
18-29,C profit over truth,2.925531914893617,9.175531914893616,32.801418439716315,34.97340425531915,20.124113475177303
18-29,D written to manipulate,4.299645390070922,14.716312056737587,37.898936170212764,28.767730496453904,14.317375886524822
18-29,E interested in politics,10.013291980505096,14.266725742135577,31.28046078865751,27.29286663712893,17.146654851572883
18-29,F mainstream accurate,7.797961896322551,18.91891891891892,38.94550287992911,26.89410722197608,7.443509082853344
18-29,G biased against my views,4.565602836879433,16.48936170212766,46.808510638297875,22.03014184397163,10.106382978723403
18-29,H trust mainstream,9.397163120567376,15.957446808510639,36.480496453900706,29.9645390070922,8.200354609929079
18-29,I confident fact-check,2.614089499335401,10.146211785556048,32.21089942401418,39.61010190518387,15.418697385910502
18-29,J distinguish fact/opinion,3.0585106382978724,8.289007092198581,33.111702127659576,41.090425531914896,14.450354609929079
18-29,K determine trustworthy,2.924235711120957,9.525919361984936,32.34381922906513,41.73681878599911,13.469206911829861
18-29,L overwhelmed,4.738706820194863,13.906111603188661,31.488042515500442,34.5881310894597,15.279007971656334
18-29,M too stressful,5.713020372010629,17.006200177147917,32.24092116917626,32.152347209920286,12.887511071744907
18-29,N excited new ways,3.6363636363636362,7.228381374722838,36.76274944567627,39.91130820399113,12.46119733924612
18-29,O excited traditional ways,6.47450110864745,15.74279379157428,40.931263858093125,26.38580931263858,10.465631929046564
18-29,P hopeful view,13.164893617021276,21.98581560283688,30.851063829787233,24.20212765957447,9.796099290780141
30-49,A impact my life,4.005589194224499,11.271541686073592,37.21471821145785,34.606427573358175,12.901723334885887
30-49,B issues I care about,2.4697110904007458,5.638397017707362,25.629077353215283,48.3690587138863,17.893755824790308
30-49,C profit over truth,3.8192827200745225,9.501630181648812,32.55705635770843,35.39823008849557,18.723800652072658
30-49,D written to manipulate,6.663560111835974,14.911463187325255,34.43616029822926,30.708294501397948,13.280521901211555
30-49,E interested in politics,9.188432835820896,11.893656716417912,28.638059701492537,32.83582089552239,17.44402985074627
30-49,F mainstream accurate,7.086247086247087,17.995337995337994,37.10955710955711,27.31934731934732,10.48951048951049
30-49,G biased against my views,4.988344988344989,18.64801864801865,42.93706293706293,22.983682983682986,10.442890442890443
30-49,H trust mainstream,9.226467847157501,15.563839701770737,34.2031686859273,30.05591798695247,10.950605778191985
30-49,I confident fact-check,2.282254308337215,7.638565440149045,32.46390312063344,39.91616208663251,17.699115044247787
30-49,J distinguish fact/opinion,2.749301025163094,7.1761416589002796,30.47530288909599,42.264678471575024,17.33457595526561
30-49,K determine trustworthy,2.3299161230195713,8.294501397949674,33.36439888164026,42.357875116495805,13.653308480894689
30-49,L overwhelmed,4.052165812761994,13.693525850023288,32.23102002794597,34.83931066604565,15.183977643223102
30-49,M too stressful,6.3373718546132345,19.338303821062443,33.084808946877914,28.611369990680334,12.628145386766077
30-49,N excited new ways,2.8904428904428907,8.065268065268064,36.73659673659674,37.10955710955711,15.198135198135198
30-49,O excited traditional ways,4.384328358208956,12.080223880597014,40.39179104477612,29.43097014925373,13.712686567164178
30-49,P hopeful view,10.205032618825722,19.89748369058714,32.059645852749306,25.582479030754897,12.255358807082944
50+,A impact my life,3.198976327575176,10.684580934101087,40.05118362124121,36.98016634676903,9.0850927703135
50+,B issues I care about,1.5974440894568689,4.600638977635783,23.067092651757186,55.46325878594249,15.271565495207668
50+,C profit over truth,2.939297124600639,10.47923322683706,29.77635782747604,38.33865814696485,18.466453674121404
50+,D written to manipulate,3.706070287539936,13.6741214057508,33.03514376996805,35.20766773162939,14.376996805111823
50+,E interested in politics,8.312020460358056,9.271099744245523,26.342710997442452,38.171355498721226,17.902813299232736
50+,F mainstream accurate,8.439897698209718,21.675191815856778,35.294117647058826,28.19693094629156,6.3938618925831205
50+,G biased against my views,3.70843989769821,20.012787723785166,44.0537084398977,21.86700767263427,10.358056265984656
50+,H trust mainstream,12.284069097888676,15.99488163787588,30.45425463851568,34.293026231605886,6.973768394113884
50+,I confident fact-check,2.111324376199616,8.765195137555983,34.22904670505439,42.09852847088932,12.795905310300704
50+,J distinguish fact/opinion,1.6624040920716114,7.9923273657289,33.248081841432224,44.62915601023018,12.468030690537084
50+,K determine trustworthy,1.9193857965451053,11.06845809341011,33.26935380678183,44.913627639155465,8.829174664107486
50+,L overwhelmed,4.670505438259757,16.89059500959693,32.30966090850927,35.06078055022393,11.06845809341011
50+,M too stressful,5.434782608695652,18.09462915601023,32.672634271099746,31.585677749360613,12.21227621483376
50+,N excited new ways,3.9641943734015346,8.567774936061381,44.11764705882353,33.887468030690535,9.462915601023019
50+,O excited traditional ways,3.258785942492013,10.670926517571885,34.56869009584664,36.74121405750799,14.760383386581468
50+,P hopeful view,10.741687979539643,25.383631713554987,32.41687979539642,24.296675191815854,7.161125319693094
