ALL,_item,Strongly disagree,Disagree,Neutral,Agree,Strongly agree
ALL,A impact my life,3.90260173448966,10.757171447631753,39.309539693128755,35.14009339559706,10.89059372915277
ALL,B issues I care about,2.2678005669501418,5.336001334000334,26.063031515757878,49.691512422878105,16.64165416041354
ALL,C profit over truth,3.251083694564855,9.653217739246415,31.89396465488496,35.945315105035014,19.25641880626876
ALL,D written to manipulate,5.002501250625312,14.473903618475905,35.434383858595965,31.115557778889446,13.973653493413373
ALL,E interested in politics,9.274395329441202,12.226855713094245,29.00750625521268,32.043369474562134,17.44787322768974
ALL,F mainstream accurate,7.705136757838559,19.279519679786524,37.391594396264175,27.351567711807874,8.272181454302869
ALL,G biased against my views,4.5037531276063385,18.131776480400333,44.653878231859885,22.385321100917434,10.325271059216014
ALL,H trust mainstream,10.075062552126772,15.77981651376147,34.17848206839032,31.059216013344454,8.907422852376982
ALL,I confident fact-check,2.367850591962648,8.887777221944306,32.84975821243955,40.33683508420877,15.557778889444723
ALL,J distinguish fact/opinion,2.5850567044696464,7.80520346897932,32.18812541694463,42.461641094062706,14.959973315543696
ALL,K determine trustworthy,2.468312208138759,9.506337558372248,32.90527018012008,42.77851901267511,12.341561040693797
ALL,L overwhelmed,4.501500500166722,14.571523841280426,31.977325775258418,34.76158719573191,14.188062687562523
ALL,M too stressful,5.835278426142048,18.10603534511504,32.660886962320774,30.726908969656552,12.670890296765588
ALL,N excited new ways,3.453453453453453,7.857857857857859,38.655321988655324,37.33733733733734,12.696029362696029
ALL,O excited traditional ways,4.871538204871538,13.09642976309643,39.13913913913914,30.130130130130127,12.762762762762764
ALL,P hopeful view,11.424282855236823,22.031354236157437,31.737825216811206,24.783188792528353,10.023348899266177
